business_id,cool,date,funny,review_id,stars,text,useful,user_id
KW5edXlPGeZ0cx7MiJyamw,0,2017-03-07 02:03:24,0,nkvJghZnOkZy4HAo87ouSA,5,"A stellar cafe!!! Very classy, warm & inviting. Tammy & her staff are amazingly awesome, and just the nicest people!! I work next door & wanted to thank them for the great cups o' kona over the last several weekends. Alas, my semi-temporary gig here in lovely Henderson is now over as i will be back to work at our west-side shops in Vegas. I will greatly miss the coffee, the cafe & your faces... but i hope to visit you guys again in the not-too distant future. Mahalo!! :)",0,PH2Ly-LUDc5i-eW_97MlNw
oxwGyA17NL6c5t1Etg5WgQ,0,2017-04-13 04:03:48,0,7KrKzKgUdflicfUs_bWNUQ,1,"Can you say ""Bait and Switch?""  A couple of days ago, I went to Fry's to purchase a new laser printer.  They had 2 tables with printers on display and around the outside of the table were small sheets of paper advertising printers that were available, but not on display.  I picked up one of those sheets, took it to a salesman and told him I was wanting to purchase it.  He said he would go to the storeroom and be right back.  A few minutes later, he came back empty handed and informed me that the printer was out of stock.  I told him that that was fine and I asked when they will be getting more of them.  He then told me that, for some reason, they were not going to be getting any more of them.  He asked me to follow him back to where I got the sheet off the table and showed me a similar printer that was $50.00 more.  I told him that I wasn't interested in that one and said I would keep looking.  As I started to walk away, the salesman took the sheet of paper I gave him, and put it back in its location on the table.  Why would he do that, after just telling me that they didn't have the printer and were never going to have it again?  Again....bait and switch.  I will never be back.",1,EnSUGj7a7FocW3blBj_hEw
bKxKPGmkwH-Q-GSbt7chNA,1,2013-08-11 20:05:49,1,f54iEgnNZEE-JPcdVuNXSQ,2,"When first walking in to Stingray Sushi, a low-lit bamboo themed restaurant greets you. At the entrance there is a fish tank under the floor... and that was the best thing about this place... We ordered the Yakiniku and the Hew Do Bow. 

The Yakiniku's stir-fried Asian vegetables were ok, I couldn't really tell with the whole meal being drowned in Korean Soy Sauce.

The Hew Do Bo should be renamed to the Edgar Allan Poe*, because this meal was worthy of being buried under the floorboards and it left me with feelings of regret. 

If I were invited into Stingray Sushi again, I would not venture too far from just eating Sushi...

* Edgar Allan Poe's ""The Tell-Tale Heart""",3,aY4FqMsNXBirS72lM_CdwQ
q5viyMO6EtJMmmarb4YmIA,0,2015-01-09 23:57:08,0,AtKH9dzGHIKoyAhOLcVUIw,4,"A very beautiful restaurant in the Hardrock casino with a nice private room.  A group of us went for my brother's 21st birthday and we got great attention from our server and the drinks were nice and strong!.  Unfortunately, I was sick, so I couldn't really eat much and there wasn't a clear soup for me, but everyone else steaks, chops and appetizers looked amazing!  My fiance had the New York strip and it was cooked right to temperature.  The baked potato we had was the size of a football!!  Even the halibut special was gorgeous. 

I will defintely be back to actually eat the food and gamble!",2,CTaZ3ebFGQMHaLZhnO2EuA
BS7PU7REvJZ7hVSHA6z8wQ,0,2017-09-03 22:40:45,0,C5vaxaN3IZvmBpvcv0uYXw,2,"I've been here twice. The first time was a pretty good experience with a group of girl friends. There were two guys bartending, both great and attentive.

The second time, well, I will probably never come back. I came here a few days ago to meet with a girlfriend. I arrived early and waited to get a spot at the bar to order myself a drink. I stood there at least 15 min trying to get one of the 3 female bartenders attention (Mind you, they weren't busy). Finally the one guy bartender let me know he would be with me shortly. Unfortunately 10 more minutes passed, so I left and took my business else-where. 

As someone who has been in the service industry for years, it's extremely important to understand that every customer counts! Whether, I'm a female or a male. I didn't get that feeling at all.",1,Kya8CWymuq437rxhHyiM2g
x4tKwQK09akHC7qONjVKcQ,0,2016-10-22 16:03:32,0,HGR43guTFx1__hR0ECMxnw,2,"Stopped in for lunch yesterday late afternoon. The bar was empty. The bartender looked my way and said nothing.  She was watching ""Space Jam"" and I finally  had to ask her for a menu. She handed me a menu and went back to watching TV. I finally had to ask her if she had any hard cider on tap, as she had ignored me up until then.  She was nice enough, but was more interested in Space Jam than a hungry and thirsty patron.  
The Fish Sandwich was the worst I have ever had.  It started out good but I found that it wasn't cod,  but some sort of bottom feeder like Basa, Swai, Tilapia or catfish.  Had some tasty white meat and then that mealy, earthy, slightly unpleasant taste of a cheap substitute for Cod.  I tipped 10% which was overly genorous for such inept service.",0,i8gdoF6XVidESx-0hL_frA
pooAgpZJn79L7JTgcK-o-Q,0,2016-01-08 20:12:59,0,2FbfXNGTU0fhHFFtekokcw,5,"After living in NYC for so many yearsI am so particular about my Asian food. I hardly ever dine Asian here in Las Vegas because it usually sucks. LJ's is my new favorite place. Tender, fresh,delicious meat and vegetables. Service was friendly and fast.! Kids loved it too.",0,Akk3JwQ4Rv9v0cm9u8jtMw
-kTHAUKuzh7cFZjVAW55Ug,0,2015-07-07 16:32:20,0,uvn641NSNF4olFlW7GPKwg,1,"This chipotles food is always good and on point, but the portions are not full portions...EVER. Especially when it's busy they are so stingy about everything. Paid double meat for what seemed like one portion. Always slow.",0,JyYkU1Y1gTGN0l8J9v5SOw
aozJXsHFqdK3Do09lEgMHA,0,2014-11-17 10:08:54,0,j8c6iXiNDUQgIs0Oe24Jvg,2,"There's nothing that special about Cue Club, quite frankly. Yes, it's where people tend to start the night because drinks are a tad cheaper and it's on the south side of Mill Ave, but I don't think it's worth it. You typically have to wait in a pretty long line (although I'll admit that it moves pretty fast), and it's always packed inside. It's fun if you're early/lucky enough to snag a pool table or one of the pseudo-VIP tables next to the bar, but I tend to find myself longing to move to the next bar after more than 5 or 10 minutes stuck the sardine can that is Cue Club.",0,cesJam7tnkUIFj8aqZGROA
YkHd_jANsjKWZu42xhkaKw,0,2009-01-06 22:36:14,0,lmS19o7GbxIx3GuCZhIx2g,5,"omg! i love this new roller coaster...i mean train. its so much fun. be prepared to move a little if your on the route with curves and not in a seat. i'm an avid roller coaster fan, and hate the fact that there aren't any in town worth talking about, (encanto park has no hills). this is the most beautiful thing to come to phoenix in a long time. in not sad to see the lanes along central filled with metal, eliminating the left turns all together in some parts. as the train is so supper dupper i love it! it's only $2.50 for an all day pass too! just make sure your on it for home before 11am or you'll be left to fend your own ride. people watching is fun on the train too. don't get so caught up or you might miss your stop.",0,SUDX_enLkhX1XLf-km59AQ
1Sz2RD2iBYqxvY-6WQRcQg,0,2016-07-04 13:14:07,1,OPFZ44QGzoozGAIJmnanfQ,1,Took an Uber over to try out OTPH on Sunday July 3 only to find out they were closed! Highly disappointed!!!,0,5lLwhjUCf9wW2goGGdOyZQ
-cx5skKcusn__Q4bMx7X5g,0,2017-10-10 01:36:48,0,Mo1v7lSscMLdTDhY6evIsA,5,AAR replaced my alternator at home for a very reasonable price. I could have done the repair myself if not for a very busy schedule. Used the website to get a quote and Carter called me back within minutes to verify everything. Gave me a quote in a few minutes and set up my appointment. Tech replaced the bad part and I received texts on the quote. I approved and Carter called back for the payment details. I got home and verified the replacement part was installed and fired up the vehicle. All is well! Back on the road thanks to AAR with only a minor dent to the wallet. Note: my wife had an identical repair done at the dealer last month that cost us much more $. Will give this business my business in the future. Just hope it doesn't go to their head and turn into another shop that doesn't care because of volume.,0,jlxlIr-O3ocKiyVs1Y2a3w
xhyzmAnZp2snpBklfcr3Sw,0,2018-09-03 05:54:36,0,0KraJVOXwF4IG2vRlnt7FA,4,"This was my first Korean BBQ experience and I loved it. They waiter was not friendly but he answered all our questions and helped us as needed but I would have liked at least a smile. I went at about 11pm so maybe he was tired, will try going earlier next time to see. Also I thought we would get to grill ourselves but he did it for us, not sure if it's because it was our first time or that's how it always is. All the side dishes were very yummy too. 

I tried something other than bbq today and it was great! kimchi fried rice was just what i needed. banchan is on point as usual. kimchi soup tasted good, but its just not something i like cos it has pork. i didnt remember to ask before ordering.",1,kkqrg3_3s3iRW-hS5hxngg
NCFwm2-TDb-oBQ2medmYDg,0,2016-12-28 03:46:46,0,YSbKVZdn8Ml2Lx4oag1MaA,2,"So I've seen this show many times, if you can even call it a show? It used to be much better. It was about 5 minutes long, not worth the time at all. How does this have such great reviews? Youtubing ""water show"" is a better use of time!",0,kKqgLgqgOrJrb6ApeJ6TrQ
_xAJZOKBMPOe47p1MphB2w,1,2016-05-19 20:50:02,0,uEMdsARyUjeDPPiJyzPkgQ,5,"Went here for a bday dinner several weeks ago. We had the huge lobster mountain - 4 lobsters, 50 lbs, deep fried Hong Kong style and devoured by 10 hungry people. It was around $50pp. You think for that price you would get some free rice? No we had to pay for that extra. The dessert was some nasty grey pudding thing but again no one came here for dessert, this isn't Cafe Demetre. I would def eat here time and time again if it weren't for the high price point. Wonderful chunky meaty pieces of Lobster goodness mmmm",1,c2fjq0LWlqYGT_t_qk2MEA
a192hdM0_UVCYLwPJv1Qwg,0,2016-01-29 21:23:55,0,Y_nI6koRvyyG95tlGHITBA,5,"I work nearby and we are here at least once a week, sometimes twice!

The food is delicious, service is great, portions and price are good. The only complaint some might have is parking, as it is free but limited spaces nearby... but I can walk from my office ;)

They have daily specials served with soup. I love the tacos, enchiladas, tamales, and chicken fajitas. We always ask for our favorite server Ivan, but the whole staff take great care of us when we are in. We usually take half back to the office for leftovers. Yummy!",0,2rELhEiVfqaYa-CpdNSU9A
